,active_criminal_rate_on_grid,stop_and_search_rate
count,1000.0,1000.0
mean,0.31582665897205936,0.22083720930232556
std,0.6672969700644457,0.29689301961705156
min,0.0,0.0
25%,0.0,0.0
50%,0.0,0.0930232558139534
75%,0.2859866539561487,0.3720930232558139
max,6.066536203522505,2.4186046511627906
range,6.066536203522505,2.4186046511627906
